kernelversion,contributor,value,Percentage
Linux-6.4(2023-06-25),Synaptics,5,0.03
Linux-6.4(2023-06-25),Areca,5,0.03
Linux-6.4(2023-06-25),Volkswagen,5,0.03
Linux-6.4(2023-06-25),Lenovo,5,0.03
Linux-6.4(2023-06-25),Nuvoton Technology,4,0.03
Linux-6.4(2023-06-25),Citrix,4,0.03
Linux-6.4(2023-06-25),Parallels,4,0.03
Linux-6.4(2023-06-25),Akamai,4,0.03
Linux-6.4(2023-06-25),XILINX,4,0.03
Linux-6.4(2023-06-25),Golden Delicious Computers,4,0.03
Linux-6.4(2023-06-25),NetApp,4,0.03
Linux-6.4(2023-06-25),Freebox,4,0.03
Linux-6.4(2023-06-25),Coolpad,3,0.02
Linux-6.4(2023-06-25),MaxLinear,3,0.02
Linux-6.4(2023-06-25),EXOSEC,3,0.02
Linux-6.4(2023-06-25),Socionext Inc.,3,0.02
Linux-6.4(2023-06-25),Baidu,3,0.02
Linux-6.4(2023-06-25),Rockchip,3,0.02
Linux-6.4(2023-06-25),Semihalf Embedded Systems,3,0.02
Linux-6.4(2023-06-25),Cadence Design Systems,3,0.02
Linux-6.4(2023-06-25),Fixstars Technologies,3,0.02
Linux-6.4(2023-06-25),Atomide,3,0.02
Linux-6.4(2023-06-25),Allied Telesis,3,0.02
Linux-6.4(2023-06-25),Fraunhofer FOKUS,2,0.01
Linux-6.4(2023-06-25),Mellanox Technologies,2,0.01
Linux-6.4(2023-06-25),Cogent Embedded,2,0.01
Linux-6.4(2023-06-25),Digi International,2,0.01
Linux-6.4(2023-06-25),Shopee,2,0.01
Linux-6.4(2023-06-25),ESD Electronics,2,0.01
Linux-6.4(2023-06-25),protonic holland,2,0.01
Linux-6.4(2023-06-25),UnionTech,2,0.01
Linux-6.4(2023-06-25),Tk Open Systems,2,0.01
Linux-6.4(2023-06-25),ALT Linux,1,0.01
Linux-6.4(2023-06-25),Xiaomi,1,0.01
Linux-6.4(2023-06-25),Eck­el­mann,1,0.01
Linux-6.4(2023-06-25),INRIA,1,0.01
Linux-6.4(2023-06-25),Cisco,1,0.01
Linux-6.4(2023-06-25),LG Electonics,1,0.01
Linux-6.4(2023-06-25),MontaVista,1,0.01
Linux-6.4(2023-06-25),Codethink,1,0.01
Linux-6.4(2023-06-25),Savoir-faire Linux,1,0.01
Linux-6.4(2023-06-25),SIMTEC,1,0.01
Linux-6.4(2023-06-25),MCST,1,0.01
Linux-6.4(2023-06-25),Code Aurora Forum,1,0.01
Linux-6.4(2023-06-25),Micron,1,0.01
Linux-6.4(2023-06-25),Toshiba,1,0.01
Linux-6.4(2023-06-25),Hovold Consulting AB,1,0.01
Linux-6.4(2023-06-25),SiS,1,0.01
Linux-6.4(2023-06-25),EfficiOS Inc.,1,0.01
Linux-6.4(2023-06-25),National Instruments,1,0.01
Linux-6.4(2023-06-25),Macq Electronique,1,0.01
Linux-6.4(2023-06-25),Timesys,1,0.01
Linux-6.4(2023-06-25),Nokia,1,0.01
Linux-6.4(2023-06-25),Hewlett Packard Enterprise,1,0.01
Linux-6.4(2023-06-25),6WIND,1,0.01
Linux-6.3(2023-04-23),Unknown,3884,26.93
Linux-6.3(2023-04-23),Linaro,1505,10.43
Linux-6.3(2023-04-23),Intel,1349,9.35
Linux-6.3(2023-04-23),Red Hat,931,6.45
Linux-6.3(2023-04-23),Google,655,4.54
Linux-6.3(2023-04-23),AMD,581,4.03
Linux-6.3(2023-04-23),NVIDIA,447,3.1
Linux-6.3(2023-04-23),IBM,400,2.77
Linux-6.3(2023-04-23),Huawei,392,2.72
Linux-6.3(2023-04-23),Hobbyists,304,2.11
Linux-6.3(2023-04-23),Oracle,298,2.07
Linux-6.3(2023-04-23),Novell,297,2.06
Linux-6.3(2023-04-23),Pengutronix,265,1.84
Linux-6.3(2023-04-23),Renesas Electronics,246,1.71
Linux-6.3(2023-04-23),QUALCOMM,203,1.41
Linux-6.3(2023-04-23),NXP,201,1.39
Linux-6.3(2023-04-23),Microchip Technology Inc.,166,1.15
Linux-6.3(2023-04-23),MediaTek,149,1.03
Linux-6.3(2023-04-23),Alibaba,132,0.92
Linux-6.3(2023-04-23),Linux Foundation,126,0.87
Linux-6.3(2023-04-23),Ideas on board,123,0.85
Linux-6.3(2023-04-23),ARM,111,0.77
Linux-6.3(2023-04-23),Debian,111,0.77
Linux-6.3(2023-04-23),Collabora,95,0.66
Linux-6.3(2023-04-23),Realtek,75,0.52
Linux-6.3(2023-04-23),ZTE,71,0.49
Linux-6.3(2023-04-23),Loongson,70,0.49
Linux-6.3(2023-04-23),Texas Instruments,67,0.46
Linux-6.3(2023-04-23),Bootlin,66,0.46
Linux-6.3(2023-04-23),EfficiOS Inc.,56,0.39
Linux-6.3(2023-04-23),Broadcom,56,0.39
Linux-6.3(2023-04-23),DENX Software Engineering,50,0.35
Linux-6.3(2023-04-23),Western Digital,50,0.35
Linux-6.3(2023-04-23),Marvell,41,0.28
Linux-6.3(2023-04-23),Baylibre,38,0.26
Linux-6.3(2023-04-23),Samsung,35,0.24
Linux-6.3(2023-04-23),Microsoft,35,0.24
Linux-6.3(2023-04-23),vivo,33,0.23
Linux-6.3(2023-04-23),Socionext Inc.,32,0.22
Linux-6.3(2023-04-23),igalia,31,0.21
Linux-6.3(2023-04-23),Academics,30,0.21
Linux-6.3(2023-04-23),XS4ALL Internet bv,30,0.21
Linux-6.3(2023-04-23),General Electric,28,0.19
Linux-6.3(2023-04-23),Linutronix,26,0.18
Linux-6.3(2023-04-23),Cirrus Logic,26,0.18
Linux-6.3(2023-04-23),ByteDance,25,0.17
Linux-6.3(2023-04-23),Canonical,22,0.15
Linux-6.3(2023-04-23),STMicroelectronics,21,0.15
Linux-6.3(2023-04-23),Tencent,20,0.14
Linux-6.3(2023-04-23),EXOSEC,20,0.14
Linux-6.3(2023-04-23),Amarula Solutions,19,0.13
Linux-6.3(2023-04-23),NFSChina,18,0.12
Linux-6.3(2023-04-23),Synaptics,18,0.12
Linux-6.3(2023-04-23),AXIS,17,0.12
Linux-6.3(2023-04-23),OPPO,17,0.12
Linux-6.3(2023-04-23),ACM,16,0.11
Linux-6.3(2023-04-23),Astaro,16,0.11
Linux-6.3(2023-04-23),Analog Devices,16,0.11
Linux-6.3(2023-04-23),Facebook,13,0.09
Linux-6.3(2023-04-23),Kylin Software,13,0.09
Linux-6.3(2023-04-23),Amazon,12,0.08
Linux-6.3(2023-04-23),Inspur,12,0.08
Linux-6.3(2023-04-23),XILINX,11,0.08
Linux-6.3(2023-04-23),Hewlett Packard Enterprise,11,0.08
Linux-6.3(2023-04-23),LinBit,11,0.08
Linux-6.3(2023-04-23),Micron,10,0.07
Linux-6.3(2023-04-23),Siemens,10,0.07
Linux-6.3(2023-04-23),WolfVision GmbH,8,0.06
Linux-6.3(2023-04-23),Consultants,8,0.06
Linux-6.3(2023-04-23),EMS Thomas Wuensche,8,0.06
Linux-6.3(2023-04-23),Cadence Design Systems,7,0.05
Linux-6.3(2023-04-23),Glider bvba,5,0.03
Linux-6.3(2023-04-23),PHYTEC,5,0.03
Linux-6.3(2023-04-23),Rockchip,5,0.03
Linux-6.3(2023-04-23),Newflow,5,0.03
Linux-6.3(2023-04-23),Volkswagen,5,0.03
Linux-6.3(2023-04-23),PEAK-System,5,0.03
Linux-6.3(2023-04-23),Freebox,5,0.03
Linux-6.3(2023-04-23),Ericsson,4,0.03
Linux-6.3(2023-04-23),Allied Telesis,4,0.03
Linux-6.3(2023-04-23),Motorola,4,0.03
Linux-6.3(2023-04-23),Critical Links,4,0.03
Linux-6.3(2023-04-23),MontaVista,4,0.03
Linux-6.3(2023-04-23),NTT,4,0.03
Linux-6.3(2023-04-23),Infineon Technologies AG,3,0.02
Linux-6.3(2023-04-23),UnionTech,3,0.02
Linux-6.3(2023-04-23),"Rowland Institute, Harvard",3,0.02
Linux-6.3(2023-04-23),Baidu,3,0.02
Linux-6.3(2023-04-23),Parallels,3,0.02
Linux-6.3(2023-04-23),Semihalf Embedded Systems,3,0.02
Linux-6.3(2023-04-23),DELL,3,0.02
Linux-6.3(2023-04-23),Citrix,3,0.02
Linux-6.3(2023-04-23),Ingics Technology,3,0.02
Linux-6.3(2023-04-23),ESD Electronics,3,0.02
Linux-6.3(2023-04-23),ALT Linux,2,0.01
Linux-6.3(2023-04-23),Macq Electronique,2,0.01
Linux-6.3(2023-04-23),Golden Delicious Computers,2,0.01
Linux-6.3(2023-04-23),LWN,2,0.01
Linux-6.3(2023-04-23),Coolpad,2,0.01
Linux-6.3(2023-04-23),Aava Mobile,1,0.01
Linux-6.3(2023-04-23),Atomide,1,0.01
Linux-6.3(2023-04-23),MEV Limited,1,0.01
Linux-6.3(2023-04-23),Timesys,1,0.01
Linux-6.3(2023-04-23),XMission,1,0.01
Linux-6.3(2023-04-23),Fixstars Technologies,1,0.01
Linux-6.3(2023-04-23),Hovold Consulting AB,1,0.01
Linux-6.3(2023-04-23),China Telecom,1,0.01
Linux-6.3(2023-04-23),VMWare,1,0.01
Linux-6.3(2023-04-23),Candela Tech.,1,0.01
Linux-6.3(2023-04-23),Nokia,1,0.01
Linux-6.2(2023-02-19),Unknown,4272,27.5
Linux-6.2(2023-02-19),Intel,1545,9.94
Linux-6.2(2023-02-19),Red Hat,959,6.17
Linux-6.2(2023-02-19),Linaro,871,5.61
Linux-6.2(2023-02-19),Huawei,834,5.37
Linux-6.2(2023-02-19),Google,783,5.04
Linux-6.2(2023-02-19),Pengutronix,641,4.13
Linux-6.2(2023-02-19),AMD,615,3.96
Linux-6.2(2023-02-19),Novell,444,2.86
Linux-6.2(2023-02-19),NVIDIA,442,2.85
Linux-6.2(2023-02-19),Hobbyists,342,2.2
Linux-6.2(2023-02-19),NXP,237,1.53
Linux-6.2(2023-02-19),Linutronix,221,1.42
Linux-6.2(2023-02-19),ARM,213,1.37
Linux-6.2(2023-02-19),Renesas Electronics,211,1.36
Linux-6.2(2023-02-19),IBM,193,1.24
Linux-6.2(2023-02-19),Microchip Technology Inc.,172,1.11
Linux-6.2(2023-02-19),MediaTek,159,1.02
Linux-6.2(2023-02-19),Oracle,154,0.99
Linux-6.2(2023-02-19),Collabora,129,0.83
Linux-6.2(2023-02-19),Bootlin,122,0.79
Linux-6.2(2023-02-19),Alibaba,108,0.7
Linux-6.2(2023-02-19),QUALCOMM,96,0.62
Linux-6.2(2023-02-19),Texas Instruments,95,0.61
Linux-6.2(2023-02-19),Realtek,91,0.59
Linux-6.2(2023-02-19),Loongson,82,0.53
Linux-6.2(2023-02-19),Baylibre,79,0.51
Linux-6.2(2023-02-19),ZTE,77,0.5
Linux-6.2(2023-02-19),Canonical,76,0.49
Linux-6.2(2023-02-19),Ideas on board,76,0.49
Linux-6.2(2023-02-19),DENX Software Engineering,73,0.47
Linux-6.2(2023-02-19),Linux Foundation,63,0.41
Linux-6.2(2023-02-19),Analog Devices,56,0.36
Linux-6.2(2023-02-19),Debian,50,0.32
Linux-6.2(2023-02-19),Facebook,49,0.32
Linux-6.2(2023-02-19),STMicroelectronics,49,0.32
Linux-6.2(2023-02-19),Samsung,42,0.27
Linux-6.2(2023-02-19),Academics,39,0.25
Linux-6.2(2023-02-19),Broadcom,37,0.24
Linux-6.2(2023-02-19),Amazon,36,0.23
Linux-6.2(2023-02-19),ACM,34,0.22
Linux-6.2(2023-02-19),VMWare,32,0.21
Linux-6.2(2023-02-19),Microsoft,32,0.21
Linux-6.2(2023-02-19),Western Digital,30,0.19
Linux-6.2(2023-02-19),Kylin Software,28,0.18
Linux-6.2(2023-02-19),vivo,25,0.16
Linux-6.2(2023-02-19),Marvell,23,0.15
Linux-6.2(2023-02-19),Cirrus Logic,20,0.13
Linux-6.2(2023-02-19),igalia,19,0.12
Linux-6.2(2023-02-19),ByteDance,19,0.12
Linux-6.2(2023-02-19),XS4ALL Internet bv,19,0.12
Linux-6.2(2023-02-19),Inspur,17,0.11
Linux-6.2(2023-02-19),NFSChina,17,0.11
Linux-6.2(2023-02-19),Motorola,15,0.1
Linux-6.2(2023-02-19),Tencent,15,0.1
Linux-6.2(2023-02-19),MaxLinear,13,0.08
Linux-6.2(2023-02-19),OPPO,13,0.08
Linux-6.2(2023-02-19),Consultants,12,0.08
Linux-6.2(2023-02-19),Socionext Inc.,12,0.08
Linux-6.2(2023-02-19),LinBit,12,0.08
Linux-6.2(2023-02-19),Atomide,12,0.08
Linux-6.2(2023-02-19),Cypress Semiconductor,11,0.07
Linux-6.2(2023-02-19),Ericsson,11,0.07
Linux-6.2(2023-02-19),Siemens,11,0.07
Linux-6.2(2023-02-19),Amarula Solutions,11,0.07
Linux-6.2(2023-02-19),LWN,10,0.06
Linux-6.2(2023-02-19),Astaro,10,0.06
Linux-6.2(2023-02-19),Glider bvba,8,0.05
Linux-6.2(2023-02-19),General Electric,8,0.05
Linux-6.2(2023-02-19),Semihalf Embedded Systems,7,0.05
Linux-6.2(2023-02-19),NTT,7,0.05
Linux-6.2(2023-02-19),AXIS,7,0.05
Linux-6.2(2023-02-19),Infineon Technologies AG,6,0.04
Linux-6.2(2023-02-19),Cadence Design Systems,6,0.04
Linux-6.2(2023-02-19),emlix Gmbh,6,0.04
Linux-6.2(2023-02-19),EXOSEC,6,0.04
Linux-6.2(2023-02-19),NetApp,6,0.04
Linux-6.2(2023-02-19),Synaptics,5,0.03
Linux-6.2(2023-02-19),EfficiOS Inc.,5,0.03
Linux-6.2(2023-02-19),Rockchip,5,0.03
Linux-6.2(2023-02-19),Allied Telesis,5,0.03
Linux-6.2(2023-02-19),Hovold Consulting AB,5,0.03
Linux-6.2(2023-02-19),CTERA Networks,4,0.03
Linux-6.2(2023-02-19),Volkswagen,4,0.03
Linux-6.2(2023-02-19),Parallels,4,0.03
Linux-6.2(2023-02-19),Nuvoton Technology,4,0.03
Linux-6.2(2023-02-19),MathEmbedded Consulting,4,0.03
Linux-6.2(2023-02-19),Micron,3,0.02
Linux-6.2(2023-02-19),"Rowland Institute, Harvard",3,0.02
Linux-6.2(2023-02-19),WolfVision GmbH,3,0.02
Linux-6.2(2023-02-19),Nokia,3,0.02
Linux-6.2(2023-02-19),Citrix,3,0.02
Linux-6.2(2023-02-19),ROHM Semiconductors,3,0.02
Linux-6.2(2023-02-19),Candela Tech.,3,0.02
Linux-6.2(2023-02-19),Fixstars Technologies,3,0.02
Linux-6.2(2023-02-19),Freebox,3,0.02
Linux-6.2(2023-02-19),PHYTEC,2,0.01
Linux-6.2(2023-02-19),XILINX,2,0.01
Linux-6.2(2023-02-19),China Mobile,2,0.01
Linux-6.2(2023-02-19),Coolpad,2,0.01
Linux-6.2(2023-02-19),INRIA,2,0.01
Linux-6.2(2023-02-19),Synopsys,2,0.01
Linux-6.2(2023-02-19),Code Aurora Forum,2,0.01
Linux-6.2(2023-02-19),Timesys,2,0.01
Linux-6.2(2023-02-19),MEV Limited,2,0.01
Linux-6.2(2023-02-19),UnionTech,2,0.01
Linux-6.2(2023-02-19),Hewlett Packard Enterprise,1,0.01
Linux-6.2(2023-02-19),secunet Security Networks AG,1,0.01
Linux-6.2(2023-02-19),MontaVista,1,0.01
Linux-6.2(2023-02-19),Fraunhofer FOKUS,1,0.01
Linux-6.2(2023-02-19),Wave Computing,1,0.01
Linux-6.2(2023-02-19),Substantiel,1,0.01
Linux-6.2(2023-02-19),HP,1,0.01
Linux-6.2(2023-02-19),Ambarella,1,0.01
Linux-6.2(2023-02-19),Microgate,1,0.01
Linux-6.2(2023-02-19),Aava Mobile,1,0.01
Linux-6.2(2023-02-19),Akamai,1,0.01
Linux-6.2(2023-02-19),Baidu,1,0.01
Linux-6.2(2023-02-19),Shopee,1,0.01
Linux-6.2(2023-02-19),VA LINUX,1,0.01
Linux-6.2(2023-02-19),Wacom,1,0.01
Linux-6.2(2023-02-19),SIMTEC,1,0.01
Linux-6.2(2023-02-19),Codethink,1,0.01
Linux-6.2(2023-02-19),Lenovo,1,0.01
Linux-6.2(2023-02-19),ALT Linux,1,0.01
Linux-6.2(2023-02-19),DELL,1,0.01
Linux-6.1(2022-12-11),Unknown,3734,26.79
Linux-6.1(2022-12-11),Huawei,1267,9.09
Linux-6.1(2022-12-11),Intel,1187,8.52
Linux-6.1(2022-12-11),AMD,748,5.37
Linux-6.1(2022-12-11),Google,726,5.21
Linux-6.1(2022-12-11),Red Hat,720,5.17
Linux-6.1(2022-12-11),Linaro,579,4.15
Linux-6.1(2022-12-11),Novell,408,2.93
Linux-6.1(2022-12-11),NVIDIA,366,2.63
Linux-6.1(2022-12-11),Hobbyists,309,2.22
Linux-6.1(2022-12-11),NXP,275,1.97
Linux-6.1(2022-12-11),Renesas Electronics,237,1.7
Linux-6.1(2022-12-11),Oracle,235,1.69
Linux-6.1(2022-12-11),Microchip Technology Inc.,192,1.38
Linux-6.1(2022-12-11),ARM,179,1.28
Linux-6.1(2022-12-11),IBM,174,1.25
Linux-6.1(2022-12-11),MediaTek,164,1.18
Linux-6.1(2022-12-11),Collabora,143,1.03
Linux-6.1(2022-12-11),QUALCOMM,140,1.0
Linux-6.1(2022-12-11),Realtek,134,0.96
Linux-6.1(2022-12-11),Pengutronix,124,0.89
Linux-6.1(2022-12-11),Alibaba,114,0.82
Linux-6.1(2022-12-11),ZTE,103,0.74
Linux-6.1(2022-12-11),Debian,75,0.54
Linux-6.1(2022-12-11),Loongson,66,0.47
Linux-6.1(2022-12-11),Facebook,65,0.47
Linux-6.1(2022-12-11),ByteDance,61,0.44
Linux-6.1(2022-12-11),Analog Devices,54,0.39
Linux-6.1(2022-12-11),DENX Software Engineering,49,0.35
Linux-6.1(2022-12-11),Broadcom,47,0.34
Linux-6.1(2022-12-11),Samsung,46,0.33
Linux-6.1(2022-12-11),Texas Instruments,45,0.32
Linux-6.1(2022-12-11),Microsoft,45,0.32
Linux-6.1(2022-12-11),XS4ALL Internet bv,43,0.31
Linux-6.1(2022-12-11),Amazon,43,0.31
Linux-6.1(2022-12-11),Ideas on board,42,0.3
Linux-6.1(2022-12-11),Linux Foundation,39,0.28
Linux-6.1(2022-12-11),Bootlin,38,0.27
Linux-6.1(2022-12-11),Tencent,37,0.27
Linux-6.1(2022-12-11),Cirrus Logic,37,0.27
Linux-6.1(2022-12-11),Kylin Software,36,0.26
Linux-6.1(2022-12-11),Western Digital,32,0.23
Linux-6.1(2022-12-11),STMicroelectronics,29,0.21
Linux-6.1(2022-12-11),Linutronix,28,0.2
Linux-6.1(2022-12-11),Baylibre,28,0.2
Linux-6.1(2022-12-11),Marvell,26,0.19
Linux-6.1(2022-12-11),NFSChina,25,0.18
Linux-6.1(2022-12-11),Academics,25,0.18
Linux-6.1(2022-12-11),XILINX,24,0.17
Linux-6.1(2022-12-11),Hewlett Packard Enterprise,23,0.17
Linux-6.1(2022-12-11),NTT,23,0.17
Linux-6.1(2022-12-11),Socionext Inc.,20,0.14
Linux-6.1(2022-12-11),EXOSEC,18,0.13
Linux-6.1(2022-12-11),Hovold Consulting AB,18,0.13
Linux-6.1(2022-12-11),AXIS,17,0.12
Linux-6.1(2022-12-11),Glider bvba,16,0.11
Linux-6.1(2022-12-11),Inspur,15,0.11
Linux-6.1(2022-12-11),Siemens,15,0.11
Linux-6.1(2022-12-11),igalia,14,0.1
Linux-6.1(2022-12-11),ACM,14,0.1
Linux-6.1(2022-12-11),General Electric,14,0.1
Linux-6.1(2022-12-11),OPPO,13,0.09
Linux-6.1(2022-12-11),Atomide,13,0.09
Linux-6.1(2022-12-11),vivo,12,0.09
Linux-6.1(2022-12-11),Synaptics,12,0.09
Linux-6.1(2022-12-11),VMWare,11,0.08
Linux-6.1(2022-12-11),Amarula Solutions,11,0.08
Linux-6.1(2022-12-11),Canonical,11,0.08
Linux-6.1(2022-12-11),Astaro,11,0.08
Linux-6.1(2022-12-11),Volkswagen,11,0.08
Linux-6.1(2022-12-11),Coolpad,10,0.07
Linux-6.1(2022-12-11),Motorola,9,0.06
Linux-6.1(2022-12-11),Rockchip,9,0.06
Linux-6.1(2022-12-11),Cypress Semiconductor,8,0.06
Linux-6.1(2022-12-11),Synopsys,8,0.06
Linux-6.1(2022-12-11),LWN,7,0.05
Linux-6.1(2022-12-11),Code Aurora Forum,7,0.05
Linux-6.1(2022-12-11),Semihalf Embedded Systems,6,0.04
Linux-6.1(2022-12-11),UnionTech,6,0.04
Linux-6.1(2022-12-11),WolfVision GmbH,6,0.04
Linux-6.1(2022-12-11),Vision Systems,6,0.04
Linux-6.1(2022-12-11),NetApp,6,0.04
Linux-6.1(2022-12-11),Cadence Design Systems,5,0.04
Linux-6.1(2022-12-11),XMission,4,0.03
Linux-6.1(2022-12-11),Allied Telesis,4,0.03
Linux-6.1(2022-12-11),6WIND,4,0.03
Linux-6.1(2022-12-11),Ericsson,4,0.03
Linux-6.1(2022-12-11),VanguardiaSur,3,0.02
Linux-6.1(2022-12-11),Wacom,3,0.02
Linux-6.1(2022-12-11),Nuvoton Technology,3,0.02
Linux-6.1(2022-12-11),MaxLinear,3,0.02
Linux-6.1(2022-12-11),Chelsio,3,0.02
Linux-6.1(2022-12-11),Parallels,3,0.02
Linux-6.1(2022-12-11),Citrix,3,0.02
Linux-6.1(2022-12-11),CTERA Networks,2,0.01
Linux-6.1(2022-12-11),ATTO,2,0.01
Linux-6.1(2022-12-11),MontaVista,2,0.01
Linux-6.1(2022-12-11),Nokia,2,0.01
Linux-6.1(2022-12-11),Ingics Technology,2,0.01
Linux-6.1(2022-12-11),SIMTEC,2,0.01
Linux-6.1(2022-12-11),emlix Gmbh,2,0.01
Linux-6.1(2022-12-11),HP,2,0.01
Linux-6.1(2022-12-11),INRIA,2,0.01
Linux-6.1(2022-12-11),Fraunhofer FOKUS,2,0.01
Linux-6.1(2022-12-11),China Telecom,2,0.01
Linux-6.1(2022-12-11),protonic holland,1,0.01
Linux-6.1(2022-12-11),Tk Open Systems,1,0.01
Linux-6.1(2022-12-11),OSADL,1,0.01
Linux-6.1(2022-12-11),Mellanox Technologies,1,0.01
Linux-6.1(2022-12-11),DELL,1,0.01
Linux-6.1(2022-12-11),"Rowland Institute, Harvard",1,0.01
Linux-6.1(2022-12-11),Infineon Technologies AG,1,0.01
Linux-6.1(2022-12-11),Elektro Bit,1,0.01
Linux-6.1(2022-12-11),Consultants,1,0.01
Linux-6.1(2022-12-11),Toshiba,1,0.01
Linux-6.1(2022-12-11),secunet Security Networks AG,1,0.01
Linux-6.1(2022-12-11),LinBit,1,0.01
Linux-6.1(2022-12-11),Cisco,1,0.01
Linux-6.1(2022-12-11),PHYTEC,1,0.01
Linux-6.1(2022-12-11),EfficiOS Inc.,1,0.01
Linux-6.1(2022-12-11),Micron,1,0.01
Linux-6.1(2022-12-11),Akamai,1,0.01
Linux-6.1(2022-12-11),Intra2net AG,1,0.01
Linux-6.1(2022-12-11),Baidu,1,0.01
Linux-6.1(2022-12-11),ESD Electronics,1,0.01
Linux-6.0(2022-10-02),Unknown,3919,25.44
Linux-6.0(2022-10-02),Intel,1635,10.62
Linux-6.0(2022-10-02),Google,944,6.13
Linux-6.0(2022-10-02),AMD,932,6.05
Linux-6.0(2022-10-02),Linaro,810,5.26
Linux-6.0(2022-10-02),Red Hat,650,4.22
Linux-6.0(2022-10-02),Huawei,539,3.5
Linux-6.0(2022-10-02),NVIDIA,444,2.88
Linux-6.0(2022-10-02),Novell,397,2.58
Linux-6.0(2022-10-02),Oracle,289,1.88
Linux-6.0(2022-10-02),IBM,274,1.78
Linux-6.0(2022-10-02),MediaTek,245,1.59
Linux-6.0(2022-10-02),Hobbyists,233,1.51
Linux-6.0(2022-10-02),Microchip Technology Inc.,221,1.43
Linux-6.0(2022-10-02),NXP,213,1.38
Linux-6.0(2022-10-02),Alibaba,209,1.36
Linux-6.0(2022-10-02),Cirrus Logic,200,1.3
Linux-6.0(2022-10-02),Renesas Electronics,188,1.22
Linux-6.0(2022-10-02),Pengutronix,183,1.19
Linux-6.0(2022-10-02),ARM,167,1.08
Linux-6.0(2022-10-02),Collabora,148,0.96
Linux-6.0(2022-10-02),QUALCOMM,145,0.94
Linux-6.0(2022-10-02),Ideas on board,136,0.88
Linux-6.0(2022-10-02),Debian,90,0.58
Linux-6.0(2022-10-02),ACM,88,0.57
Linux-6.0(2022-10-02),Facebook,86,0.56
Linux-6.0(2022-10-02),Marvell,86,0.56
Linux-6.0(2022-10-02),DENX Software Engineering,85,0.55
Linux-6.0(2022-10-02),Broadcom,79,0.51
Linux-6.0(2022-10-02),Loongson,76,0.49
Linux-6.0(2022-10-02),Canonical,64,0.42
Linux-6.0(2022-10-02),Samsung,63,0.41
Linux-6.0(2022-10-02),Bootlin,61,0.4
Linux-6.0(2022-10-02),ByteDance,56,0.36
Linux-6.0(2022-10-02),NFSChina,53,0.34
Linux-6.0(2022-10-02),Academics,50,0.32
Linux-6.0(2022-10-02),Ericsson,50,0.32
Linux-6.0(2022-10-02),STMicroelectronics,49,0.32
Linux-6.0(2022-10-02),Tencent,49,0.32
Linux-6.0(2022-10-02),Amazon,47,0.31
Linux-6.0(2022-10-02),INRIA,42,0.27
Linux-6.0(2022-10-02),Microsoft,41,0.27
Linux-6.0(2022-10-02),Linutronix,38,0.25
Linux-6.0(2022-10-02),Linux Foundation,38,0.25
Linux-6.0(2022-10-02),Realtek,35,0.23
Linux-6.0(2022-10-02),Amarula Solutions,35,0.23
Linux-6.0(2022-10-02),Analog Devices,35,0.23
Linux-6.0(2022-10-02),Kylin Software,34,0.22
Linux-6.0(2022-10-02),Western Digital,32,0.21
Linux-6.0(2022-10-02),Consultants,31,0.2
Linux-6.0(2022-10-02),Astaro,30,0.19
Linux-6.0(2022-10-02),Baylibre,29,0.19
Linux-6.0(2022-10-02),XILINX,28,0.18
Linux-6.0(2022-10-02),NTT,26,0.17
Linux-6.0(2022-10-02),Texas Instruments,23,0.15
Linux-6.0(2022-10-02),protonic holland,21,0.14
Linux-6.0(2022-10-02),Glider bvba,20,0.13
Linux-6.0(2022-10-02),igalia,19,0.12
Linux-6.0(2022-10-02),ZTE,18,0.12
Linux-6.0(2022-10-02),Inspur,18,0.12
Linux-6.0(2022-10-02),Siemens,17,0.11
Linux-6.0(2022-10-02),VMWare,15,0.1
Linux-6.0(2022-10-02),XS4ALL Internet bv,15,0.1
Linux-6.0(2022-10-02),Infineon Technologies AG,15,0.1
Linux-6.0(2022-10-02),Hovold Consulting AB,13,0.08
Linux-6.0(2022-10-02),vivo,12,0.08
Linux-6.0(2022-10-02),Nokia,12,0.08
Linux-6.0(2022-10-02),Coolpad,11,0.07
Linux-6.0(2022-10-02),OPPO,10,0.06
Linux-6.0(2022-10-02),AXIS,9,0.06
Linux-6.0(2022-10-02),VanguardiaSur,9,0.06
Linux-6.0(2022-10-02),NetApp,9,0.06
Linux-6.0(2022-10-02),Semihalf Embedded Systems,8,0.05
Linux-6.0(2022-10-02),Cadence Design Systems,7,0.05
Linux-6.0(2022-10-02),China Mobile,7,0.05
Linux-6.0(2022-10-02),SIMTEC,7,0.05
Linux-6.0(2022-10-02),WolfVision GmbH,6,0.04
Linux-6.0(2022-10-02),Nuvoton Technology,6,0.04
Linux-6.0(2022-10-02),Code Aurora Forum,6,0.04
Linux-6.0(2022-10-02),Atomide,6,0.04
Linux-6.0(2022-10-02),Parallels,6,0.04
Linux-6.0(2022-10-02),Lenovo,6,0.04
Linux-6.0(2022-10-02),UnionTech,6,0.04
Linux-6.0(2022-10-02),Rockchip,6,0.04
Linux-6.0(2022-10-02),Allied Telesis,6,0.04
Linux-6.0(2022-10-02),Synaptics,5,0.03
Linux-6.0(2022-10-02),ESD Electronics,5,0.03
Linux-6.0(2022-10-02),EfficiOS Inc.,5,0.03
Linux-6.0(2022-10-02),Motorola,5,0.03
Linux-6.0(2022-10-02),"Rowland Institute, Harvard",5,0.03
